企　業　名,職種,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,
ネオ製薬工業（株）,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)ネクスコ・エンジニアリング新潟,Ｄ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)ノエビア　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ノーリツ鋼機(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)能登　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ノックスデータ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
野原電研(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)野村精一会計事務センター,Ｐ,,,,,,,,,,,,,,,,,,,,,,,,,
ハイウェイ・ト－ル・システム㈱,Ｌ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)パイロット　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ハイテック　　　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ハイテクシステム（株）,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
（株）ハイン,Ｒ,,,,,,,1,,,,,,,,,,,,,,,,,,
パスカル,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
パスカルエンジニアリング,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックシステムソリューションズ(株)(旧松下システムソリューションズ）,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックセミコンダクターエンジニアリング(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニック半導体システムテクノ(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニックフォト・ライティング(株)（旧ウエスト電気）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)畑山製衡所        ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
八十二システム開発(株),Ｑ,,,,,,,,,,,,,,,,,,1,,,,,1,,
発紘電機(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
パナソニック（旧松下電器産業）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
浜名湖電装(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
浜名部品工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
原田通信(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)バンテクノ　　　　　　　　　　　,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ハンシン建設　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ピーエスジー,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＰＦＵ,Ｇ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)ＰＦＵソフトウエアラボラトリ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）ＢＢＳ金明,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)柊ソフト開発,Ｇ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)ＢＰＡ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
日置電機(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株)光製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)樋口製作所,Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
久野金属工業(株)　　　　　　　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）ビーシーシー,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
(株)ビジュアルソフト,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
(株)日立ＩＥシステム,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立エーアイシー(株)　　　              ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立エンジニアリングサービス　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立機電工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立国際電気 ,Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)日立国際電気エンジニアリング      (旧国際電気アルファ）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立建機ビジネスフロンティア（株）,Ｇ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)日立システムアンドサービス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立情報システムズ　,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
日立ソフトウエアエンジニアリング(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
日立ツール(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立プラントテクノロジー         (旧日立テクノエンジニアリング・日立プラント建設）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立電子サービス(株)  ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立西エンジニアリングサービス         ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立ハウステック,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)日立ビルシステム                       (旧日立ビル施設エンジニアリング）      ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
日立物流ソフトウェア(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
日立プラント建設サービス(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ひまわりネットワーク,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ヒミカ,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
広島エルピーダメモリ(株)                      (旧広島日本電気）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ブレイン　　　　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ファインフーズ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ファブリカトヤマ,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
（株）ファルコバイオシステムズ,Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,
フェニテックセミコンダクター,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
フォスター電機(株),Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
(株)フォーラム・エンジニアリング　  ,Ｒ,,,,,,,,1,,1,,,1,,,,,,,,1,,,,
福井コンピュータ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
福井システムズ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)福井鉄工所　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
福井めがね工業(株) ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)福島情報処理センター,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
福伸電機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
フクダ電子北陸販売(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
不二化学薬品(株)   ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
富士製薬工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,2,,,,,,
富士機械製造(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
富士機工(株),Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
フタバ産業(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
藤沢メディカルシステム(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
富士重工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
富士ゼロックス北陸(株)                                   (旧北陸ゼロックス）　　　　　  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
富士ゼロックスマニファクチュアリング（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
富士ソフト(株)(旧富士ソフトＡＢＣ）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）富士通ＩＴプロダクツ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)富士通エフサス                                    (旧富士通サポートアンドサービス）   ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)富士通長野システムエンジニアリング,Ｇ,,1,,,,,,,,,,,,,,,,,,,,,,,
(株)富士通新潟システムズ      ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
富士通ＶＬＳＩ(株) ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)富士通北陸システムズ,Ｇ,,,,,,,,2,,,,,,,,,,1,,,,,,,
富士電子工業,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)富士薬品,Ｅ,,,,,,,,,,,,,,1,,,,,2,,,,,,
(株)フジミインコーポレーテッド　 ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
古河ＡＳ(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
扶桑工機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
船井電機(株)       ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ヒューマンエンジニアリングアンドロボティックス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)フルキャストテクノロジー                                (旧フルキャストウイズ）,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
（株）プレステージ・インターナショナル,Ｑ,,,,,,,,,,,,,,,,,,,,,,,1,,
（株）ブルボン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)別川製作所                    ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
兵神装備(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ベルソニカ,,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ベンチャ－セーフネット      ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ベンリーコーポレーション,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）ＢＥＸ,Ｒ,,,,,,,,,,,,,,,,,,,,,1,,,,
豊和工業（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
ホーチキ(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ホクショー(株),Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
北陸通信工業(株) 　,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
北陸通信ネットワーク(株),Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
北陸セルラー電話(株)     ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
北陸電話工事(株)   ,Ｅ,,,,,,,,,,,,,,,,,,1,,,,,,,
北陸ハーネス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
北陸松下システム(株) 　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
北菱電興（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
ホシザキ東海(株)　　　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
ホシザキ北信越(株)　　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(有)ＢＯＳＳグループ,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ボスシステム(株) 　,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ホシデン（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
ホシデンエフ・ディ(株),Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
(株)ポラテクノ,Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
ポリマー化成(株)　                 ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ホロンシステム,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
（株）ホワイトハウス,Ｑ,,,,,,,,,,,,,,,,,,,,,,1,,,
本田技研工業(株)   ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
本部三慶（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
本間工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
本間コンクリート（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,1,,
妹尾旭工業(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
マキノＪ(株)　　　　　　　　　　  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）マキタ,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
マスプロ電工（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)牧野フライス製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
㈱松尾製作所,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
(株)松浦機械製作所,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
（株）松村組,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,1
(株)マツバラ,Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
(株)丸井織物,Ｅ,,,,,,,1,,1,,,,,,,,,,,,,,,,
丸順(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)丸仁,Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
（株）マルハン,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)丸菱　　　　　　　　　　 ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
丸文(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)丸和セラミックス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三鈴テクニクス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三谷産業(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
三谷商事(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
三菱電機セミコンダクターソフトウエア(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
三菱自動車エンジニアリング,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
三菱電機エンジニアリング(株),Ｌ,,1,,,,,,,,,,,,,,,,,,,,,,,
三菱電機ビルテクノサービス(株),Ｒ,,,,,,2,,,,,,,,,,,,,,,,,,,
三菱ＵＦＪモルカン・スタンレー証券（株）,Ｊ,,,,,,,,,,,,,,,,,,,,,,,,1,
ミツワ電子(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
ＳＵＳ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)南鉄工所,Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
宮川興業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)三幸製作所,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
ミルコン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵精密工業,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ムトーテクノサービス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ムトー精工(株),Ｅ,1,2,,,,,,,,,,,,,,,,,,,,,,,
村上大理石,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
村田機械,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）メイケイ,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
名工建設（株）,Ｄ,,,,,,,,,,,,,,,1,,,,,,,,,,1
明興工業㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
明陽電機㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
明治ナショナル工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
明生システムサービス(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)名鉄情報システム,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
(株)メイテック　　　　　　 ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
メイテックフィルダーズ,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
明和工業(株),Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
(株)メガチップス,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)メディコム,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
(株)メルコ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
モビテック,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
森尾電機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
森精機製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)モリタ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
森永北陸乳業(株),Ｅ,,,,1,,,,,2,,,,,,,,,,,,,,,,
森松工業(株)                     ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
矢崎化工(株),Ｅ,,,,,,1,1,,,,,,,,,,,,,,,,,,
矢崎総業（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,
（株）安永,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
山一精工(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ヤマウチマテックス(株)　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
山岸機業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ヤマザキマザック(株),Ｅ,2,,,,,,,,,,,,,,,,,,,,,,,,
ヤマトエスロン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)山崎屋,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
山田建築,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)やまひろ,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,1,
矢作建設工業(株),Ｄ,,,,,,,,,,,,,,,,,,,,1,,,,,
矢作産業(株),Ｄ,,,,,,,,,,,,,,,,1,,,,,,,,,
八千代エンジニアリング（株）,Ｌ,,,,,,,,,,,,,,,,,,,,,,,,,
雪国まいたけ,Ａ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）湯山製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,1,,,
ＵＴエイム(株),Ｒ,,,,,,,,,,,,,1,,,,,,,,,,,,
（株）ユーシン精機,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
ユニアデックス（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,1,,
ユニシステム(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ユニバンズ  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ヨシオ工業　　    ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
吉富製薬(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(有)吉中精工,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
米沢電気工事(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ヨロズ,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
ライオンパワ－(株) ,Ｅ,,,,,,,,,,,,,,,,,,1,,,,,,,
ライン工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
理科研（株）,Ｅ,,,,,,,,,1,,,,,1,,,,,2,,,,,,
理研産業(株),Ｅ,,,,1,,,,,,,,,,,,,,,,,,,,,
リクルートスタッフィング,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
リコーソフトウェア（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
リコーテクノシステムズ㈱,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)リニア・サーキット,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
利高工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
理想科学工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
菱電セミコンダクタシステムエンジニアリング(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)菱友システムズ《旧菱友計算(株)》 　　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
リンナイ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ルビコン(株)       ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)レックス,Ｒ,,,,,,,,,,,,,,,,,,,,1,,,,,
(株)レッドバロン,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
ローム(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＹＫＫ(株),Ｅ,,,,,,1,,,,,,,1,,,,,,,,,,1,,
(株)和井田製作所　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＹＫＫーＡＰ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
(株)ワウエンターテイメント,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
わかもと製薬（株）,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,
和光技研工業(株)              ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
㈱和楽,Ｉ,,,,,,,,,,,,,,,,,,,1,,,,,,
(株)ワシノエンジニアリング        ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
警視庁,Ｓ,,,,,,,,,,,,,,,1,,,,,,,,,,
名古屋税関,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
陸上自衛隊,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
航空自衛隊,Ｓ,,1,,,,,,,,,,,,,,,,,,,,,,,
郵政省,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
国土交通省中部地方整備局,Ｓ,,,,,,,,,,,,,,,,,,,,1,,,,,
国土交通省北陸地方整備局,Ｓ,,,,,,,,,,,,,,,,,,,,1,,,,,
東京都庁,Ｓ,,,,,,,,,,,,,,,1,,,,,1,,,,,
愛知県警察,Ｓ,,,,,,,,,,,,,,,2,,,,,,,,,,1
石川県警察,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
埼玉県警察,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
滋賀県警察,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
三重県警察,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
長野県警,Ｓ,,,,,,,,,,,,,,,,,,,1,,,,,,
岐阜県庁,Ｓ,,,,,,,,,,,,,,,,,,,,1,,,,,1
神戸市役所,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
金沢市役所,Ｓ,,,,,,,,,,,,,,,2,,,,,1,,,,,
長野市役所,Ｓ,,,,,,,,,,,,,,,1,,,,,,,,,,
名古屋市役所,Ｓ,,,,,,,,,,,,,,,,,,,,1,,,,,
豊川市役所,Ｓ,,,,,,,,,,,,,,,1,,,,,,,,,,
蒲郡市役所,Ｓ,1,,,,,,,,,,,,,,,,,,,,,,,,1
兵庫県市川町役場,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
美作町役場,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
福井県美浜町役場,Ｓ,,,,,,,,,,,,,1,,,,,,,,,,,,
尾三消防,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
新潟県糸魚川地域広域行政組合消防本部,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
新潟県下水道公社,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
海上保安大学校,Ｓ,,,,,,,,,,,,,,,,,,,,,1,,,,
本州四国連絡橋公団,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,
新発田市役所,Ｓ,,,,,,,,,,,,,,,,,,,,,,,,,